  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
 84,           117,              34,             10,      5832,          76,          9,     2523,       1125,        17,          3570,              22,            258
 85,           118,              34,              8,      6005,          77,         10,     2557,       1137,        18,          3655,              22,            184
 86,           119,              34,              9,      6180,          78,         10,     2600,       1160,        17,          3741,              22,            188
 87,           120,              34,              9,      6357,          79,          9,     2630,       1172,        17,          3828,              22,            193
 88,           121,              34,              9,      6536,          80,         12,     2672,       1192,        18,          3916,              22,            222
 89,           122,              34,             11,      6717,          81,         11,     2709,       1207,        20,          4005,              22,            234
 90,           124,              35,             10,      6720,          81,         11,     2753,       1233,        18,          4095,              23,           1806
 91,           125,              35,             10,      6905,          82,         10,     2790,       1247,        16,          4186,              23,            223
 92,           126,              35,              8,      7092,          83,         10,     2818,       1251,        18,          4278,              23,            247
 93,           128,              36,             12,      7095,          83,         11,     2867,       1281,        19,          4371,              24,            253
 94,           129,              36,              9,      7286,          84,         12,     2911,       1302,        20,          4465,              24,            259
 95,           130,              36,             10,      7479,          85,         20,     2944,       1322,        19,          4560,              24,            250
 96,           131,              36,             10,      7674,          86,         12,     2995,       1343,        20,          4656,              24,            257
 97,           132,              36,             11,      7871,          87,         12,     3028,       1360,        20,          4753,              24,            275
 98,           134,              37,             10,      7874,          87,         11,     3070,       1376,        20,          4851,              25,            128
 99,           136,              38,             10,      8079,          89,         13,     3106,       1394,        21,          4950,              26,             81
100,           137,              38,             11,      8282,          90,         12,     3153,       1416,        22,          5050,              26,             72
