   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
 219,         12152,           11938,             34,      6250,         418,         28,     7538,       3317,        34,         24090,             214,             82
 220,         12197,           11982,             35,      6087,         423,         27,     7646,       3380,        30,         24310,             216,             80
 221,         12396,           12180,             36,      6698,         412,         27,     7655,       3395,        33,         24531,             214,             80
 222,         12468,           12251,             35,      6111,         418,         27,     7712,       3416,        33,         24753,             215,             80
 223,         12591,           12373,             35,      6187,         424,         26,     7741,       3421,        33,         24976,             213,             82
 224,         12633,           12414,             36,      6540,         424,         27,     7831,       3465,        33,         25200,             214,             83
 225,         12673,           12453,             36,      6194,         425,         27,     7841,       3469,        33,         25425,             215,             75
 226,         12779,           12558,             30,      6323,         429,         27,     7917,       3496,        35,         25651,             216,             70
 227,         12926,           12704,             27,      6168,         430,         23,     7960,       3532,        33,         25878,             220,             83
 228,         12972,           12749,             33,      6078,         435,         26,     7980,       3551,        35,         26106,             221,             83
 229,         13096,           12872,             33,      6055,         447,         28,     8005,       3543,        35,         26335,             222,             87
 230,         13127,           12902,             30,      6765,         425,         24,     8111,       3602,        29,         26565,             224,             71
 231,         13205,           12979,             32,      6130,         441,         24,     8110,       3596,        30,         26796,             223,             73
 232,         13341,           13114,             29,      6584,         452,         27,     8172,       3625,        34,         27028,             226,             83
 233,         13456,           13228,             33,      6403,         449,         24,     8175,       3622,        30,         27261,             228,             72
 234,         13580,           13351,             29,      6134,         443,         26,     8264,       3668,        35,         27495,             227,             82
 235,         13739,           13509,             36,      6201,         458,         26,     8298,       3690,        33,         27730,             231,             80
 236,         13928,           13697,             31,      6518,         443,         28,     8332,       3685,        34,         27966,             231,             82
 237,         14014,           13782,             35,      6349,         461,         28,     8378,       3717,        34,         28203,             230,             72
 238,         14030,           13797,             33,      6392,         459,         28,     8398,       3720,        33,         28441,             231,             80
 239,         14197,           13963,             32,      6490,         455,         29,     8454,       3756,        34,         28680,             235,             84
 240,         14198,           13963,             34,      6973,         456,         27,     8513,       3787,        35,         28920,             235,             82
 241,         14363,           14127,             37,      6697,         460,         29,     8538,       3784,        35,         29161,             237,             78
 242,         14379,           14142,             36,      6812,         456,         29,     8561,       3780,        33,         29403,             238,             90
 243,         14610,           14372,             39,      7234,         446,         28,     8539,       3760,        36,         29646,             238,             89
 244,         14710,           14471,             38,      6739,         466,         29,     8599,       3802,        37,         29890,             239,             84
 245,         14947,           14707,             41,      7100,         469,         32,     8668,       3842,        38,         30135,             241,             92
 246,         15105,           14864,             44,      7040,         468,         28,     8744,       3887,        38,         30381,             238,            101
 247,         15307,           15065,             45,      6854,         471,         30,     8745,       3873,        37,         30628,             243,             95
 248,         15412,           15169,             44,      6880,         481,         32,     8819,       3918,        39,         30876,             243,            102
 249,         15477,           15233,             40,      6844,         471,         31,     8839,       3909,        38,         31125,             245,            104
 250,         15490,           15245,             41,      7074,         483,         31,     8839,       3916,        39,         31375,             247,            101
 251,         15503,           15257,             39,      7479,         476,         25,     8936,       3944,        36,         31626,             245,             87
 252,         15621,           15374,             41,      6698,         502,         29,     8984,       3997,        41,         31878,             248,            101
 253,         15769,           15521,             40,      6892,         489,         31,     8971,       3966,        33,         32131,             247,             81
 254,         15802,           15553,             33,      7258,         473,         42,     9048,       3999,        38,         32385,             249,             95
 255,         15933,           15683,             37,      7087,         500,         39,     9101,       4045,        34,         32640,             251,             88
 256,         16183,           15932,             36,      8305,         491,         29,     9119,       4041,        38,         32896,             254,             94
 257,         16408,           16156,             38,      7130,         482,         28,     9156,       4059,        37,         33153,             252,             93
 258,         16665,           16412,             41,      7789,         503,         31,     9199,       4083,        40,         33411,             248,             97
 259,         16796,           16542,             43,      7648,         502,         29,     9246,       4116,        39,         33670,             252,             98
 260,         16854,           16599,             43,      7422,         497,         30,     9299,       4126,        39,         33930,             253,            101
 261,         17113,           16857,             42,      7527,         514,         34,     9319,       4135,        41,         34191,             257,            109
 262,         17342,           17085,             48,      8098,         481,         33,     9393,       4170,        40,         34453,             257,            103
 263,         17597,           17339,             48,      7280,         503,         30,     9395,       4179,        42,         34716,             257,            111
 264,         17803,           17544,             49,      7343,         501,         32,     9464,       4204,        43,         34980,             256,            113
 265,         17876,           17616,             49,      8258,         514,         33,     9532,       4229,        42,         35245,             256,            111
 266,         17925,           17664,             50,      7693,         517,         34,     9595,       4266,        42,         35511,             260,            115
 267,         18047,           17785,             50,      7359,         522,         33,     9601,       4271,        43,         35778,             257,            112
 268,         18259,           17996,             50,      7777,         509,         33,     9634,       4281,        43,         36046,             264,            120
 269,         18350,           18086,             47,      7204,         526,         35,     9695,       4303,        43,         36315,             264,            117
 270,         18510,           18245,             51,      7193,         532,         31,     9731,       4330,        42,         36585,             265,            118
 271,         18687,           18421,             48,      7827,         526,         34,     9718,       4319,        42,         36856,             267,            124
 272,         18949,           18682,             49,      8289,         529,         35,     9795,       4350,        41,         37128,             264,            118
 273,         18988,           18720,             52,      8084,         526,         34,     9820,       4352,        43,         37401,             268,            122
 274,         19048,           18779,             53,      7620,         523,         31,     9961,       4430,        43,         37675,             267,            117
 275,         19146,           18876,             54,      7434,         530,         36,     9946,       4412,        43,         37950,             266,            125
 276,         19338,           19067,             51,      7638,         547,         32,     9977,       4423,        42,         38226,             271,            117
 277,         19443,           19171,             53,      8135,         560,         35,    10009,       4435,        43,         38503,             271,            120
